Title,member-company,phone-number,e-mail,address,member-home-type,member-design-style,member-preferred-budget,member-short-detail,member-accreditation,Date,"Post Type",Permalink,"Image URL","Image Title","Image Featured"
"Reno Researchers","Reno Research","'+65 8088 0201",hello@renoresearch.sg,"11 Silat Avenue",Condo,Industrial,"Under S$ 30,000","<p>Reno Research is founded by a team of marketers who have been researching the best way to pair homeowners and Interior Design firms since 2018. Reno Research is the latest project created by them to utilise technology and algorithms to get the best possible fit between homeowners and Interior Designers.</p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-11,member-list,https://renoresearch.sg/member-list/reno-designers/,https://renoresearch.sg/wp-content/uploads/2024/03/ML19-1.jpg,M+L(19),https://renoresearch.sg/wp-content/uploads/2024/03/ML19-1.jpg
"Sanctum Interior","Sanctum Interior Pte Ltd","'+65 9889 7790",ivan@sanctuminterior.com,"10 UBI CRES, LOBBY B #01-23, SINGAPORE, 408564, SINGAPORE",HDB,Modern,"Under S$ 30,000","<div class=""banner-thumbnail-wrapper has-description"" data-content-field=""main-image"">
<div class=""desc-wrapper"" data-content-field=""description""><strong data-shrink-original-size=""86"">Interior Design</strong>IS OUR PASSION</div>
</div>
<div class=""index-section-wrapper page-content"">
<div class=""content-inner has-content"" data-content-field=""main-content"">
<div id=""page-5bb5dc450d92974e7955b591"" class=""sqs-layout sqs-grid-12 columns-12"" data-type=""page"" data-updated-on=""1538645750686"">
<div class=""row sqs-row"">
<div class=""col sqs-col-12 span-12"">
<div id=""block-f37e735f53e3de2e08d1"" class=""sqs-block html-block sqs-block-html"" data-block-type=""2"">
<div class=""sqs-block-content"">
<div class=""sqs-html-content"">
<h1>Founded by a group of passionate designers to bring your personality into reality</h1>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-12,member-list,https://renoresearch.sg/member-list/sanctum-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/Sanctum-Interior-Logo-BLACK_PNG.png,"Sanctum Interior Logo (BLACK_PNG)",https://renoresearch.sg/wp-content/uploads/2024/06/Sanctum-Interior-Logo-BLACK_PNG.png
"Space Change 空间变化","Space Change Pte Ltd","'+65 9832 7222",accounts@spacechange.sg,"1 Bukit Batok Cres #03-24 Wcega Plaza  Singapore 658064",HDB,Modern,"Under S$ 30,000","<p>Space Change Pte Ltd, founded in 2019, is a growing interior design firm in Singapore with the belief that there is a method to assist homeowners to bring their vision to life without compromising much on the renovation. Every renovation should be planned meticulously with our clients’ needs in mind and appropriately budgeted. The desired end results can be achieved easily as we have a team of passionate interior designers, also known as Spaceman, who devote time and effort to know the customer’s lifestyle and needs. The drafts will be bespoke interior designs curated for each unique customer. Our Spaceman will also propose cost-saving options for customers and achieve both cost-saving and design as a whole. At Space Change, Its all about doing rightfully and spending right on renovation.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/space-change-%e7%a9%ba%e9%97%b4%e5%8f%98%e5%8c%96/,https://renoresearch.sg/wp-content/uploads/2024/06/Space-Change-Logo.jpg,"Space Change Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Space-Change-Logo.jpg
"De Style Interior","DE STYLE INTERIOR","'+65 9657 5200",marketing@destyle.com.sg,"62 Ubi Road , #01-02 Oxley Bizhub 2, Singapore 408734",HDB,Modern,"Under S$ 30,000","<p>De Style®  has steadfastly proven our creative spirit and professionalism with <b>Design &amp; Build</b> projects that flawlessly integrate functionality with an aesthetic sense.</p>
<p>Since our establishment in 2012, we have gained the attention and earned the respect of a diverse range of customers. This achievement comes from our focus in creating a strong rapport with clients, working closely with them by listening to their ideas and developing concepts based on each unique need.</p>
<p>It is with this stark insight that our firm has successfully completed <b>Interior Design &amp; Renovation</b> projects ranging from all types of Landed, Condominium, HDB and Commercial properties.</p>
<p>With a proficient and experienced team of interior design consultants, clients are assured of the highest quality output.</p>
<p>Despite our successes, De Style® constantly endeavors to improve by keeping up with the latest developments and trends in <b>Design &amp; Build</b> and <b>Interior Design &amp; Renovation. That way, like fine wine, we only keep getting better and better with time.</b></p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/de-style-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/De-Style-Interior-Logo.jpg,"De Style Interior Logo",https://renoresearch.sg/wp-content/uploads/2024/06/De-Style-Interior-Logo.jpg
"E N B O D E Studio","Enbode Studio","'+65 9625 0976",bern@enbode.studio,"334C King George's Avenue Singapore 208571",HDB,Modern,"Under S$ 30,000","<p><small id=""h.hge5udhpqunn"" class=""zfr3Q TMjjoe CDt4Ke "" dir=""ltr""><span class=""C9DxTc "">ENBODE STUDIO is an interior design boutique studio established in 2020.<br />
</span></small><br />
<small id=""h.7n99kbh0id2a"" class=""zfr3Q TMjjoe CDt4Ke "" dir=""ltr""><span class=""C9DxTc "">At ENBODE, we are dedicated to transforming spaces into captivating works of art that reflect our clients' unique personalities and aspirations. We aspire to be one of the top leading interior design company, bringing together creativity, functionality, and aesthetics to craft spaces that not only enhance the visual appeal but also promote comfort and efficiency. Our team of talented designers and architects collaborates closely with our clients, ensuring that every project is a true reflection of their vision. We believe that exceptional design is not just about aesthetics but about creating an environment that tells a story, evokes emotions, and fosters an unforgettable experience. Whether it's a residential, commercial, or hospitality project, ENBODE is committed to delivering innovative and timeless designs that exceed expectations, making your space truly exceptional.</span></small></p>
","a:5:{s:12:""HDB Licensed"";s:5:""false"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/e-n-b-o-d-e/,https://renoresearch.sg/wp-content/uploads/2024/06/ENBODE-Studio-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/Enbode-Studio-Logo.jpg,"ENBODE Studio Logo (PNG)|Enbode Studio Logo",https://renoresearch.sg/wp-content/uploads/2024/06/ENBODE-Studio-Logo-PNG.png
"GoDesign Interior","GODESIGN PTE LTD","'+65 9177 9006",info@godesign.com.sg,"81 Tagore Lane, #02-23B, Tag.A, Singapore 787502","HDB (BTO)",Modern,30001-50000,"<p>We are a homegrown interior design and renovation firm with over 40 years of experience. Our portfolio includes homes and commercial spaces around the region. Our goal? To deliver beautiful and functional spaces. We always 𝐠𝐨 𝐭𝐡𝐞 𝐞𝐱𝐭𝐫𝐚 𝐦𝐢𝐥𝐞!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:4:""true"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/godesign-interior/,https://renoresearch.sg/wp-content/uploads/2024/06/GoDesign-Interior.jpg,"GoDesign Interior",https://renoresearch.sg/wp-content/uploads/2024/06/GoDesign-Interior.jpg
"JTG.SG Corporate","JTG.SG Corporate Pte Ltd","'+65 8755 7029",jamestanchenghan@gmail.com,"27 Mandai Estate #02-08 Innovation Place Singapore 729931",HDB,Modern,"Under S$ 30,000","<p>Specialize in design &amp; fabrication for residential, commercial, office, project ,exhibition renovation</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/jtg-sg-corporate/,https://renoresearch.sg/wp-content/uploads/2024/06/JTG.SG-Corporate-Logo-PNG.png|https://renoresearch.sg/wp-content/uploads/2024/06/JTG.SG-Corporate-Logo-e1718269142438.jpg,"JTG.SG Corporate Logo (PNG)|JTG.SG Corporate Logo",https://renoresearch.sg/wp-content/uploads/2024/06/JTG.SG-Corporate-Logo-PNG.png
"Kozzi Designers - Interior Design","Kozzi Designers Pte Ltd","'+65 9278 0833",enquiry@kozzidesigners.com,"65 Ubi Road 1, #02-67/68, Oxley Bizhub, Singapore 408729",HDB,Modern,"Under S$ 30,000","<p>As one of the leading interior design and renovation companies across Singapore, we offer a full and comprehensive range of services at an affordable price. With Kozzi Designers, you no longer have to choose between quality and price. You can have the best of both worlds!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/kozzi-designers-interior-design/,https://renoresearch.sg/wp-content/uploads/2024/06/Kozzi-Designers-Logo.jpg,"Kozzi Designers Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Kozzi-Designers-Logo.jpg
"Design Plus Sg","Design Plus Pte. Ltd.","'+65 9619 9144",zoron@designplus.sg,"70A Neil Road, Singapore","HDB (BTO)",Modern,30001-50000,"<p>DesignPlus is driven by a mission to guide our customers at every step of their interior design journey. From initiating the search for a competent interior designer to offering curated portfolios and insightful perspectives, we strive to ensure an enriching and seamless design experience. Our platform aims to facilitate a collaborative, transparent, and efficient design process that caters to the unique needs of homeowners and professionals alike.</p>
<p>DesignPlus is more than just an interior design platform. It serves as a comprehensive hub for the design and renovation industry, bringing together a diverse array of stakeholders including interior designers, contractors, suppliers, banks, and architects. By offering a unified, interactive space for these parties to connect, collaborate, and grow, we are creating a holistic interior design ecosystem that transforms how renovation projects are conceived, planned, and executed.</p>
<p>Beyond this, DesignPlus also provides opportunities for aspiring designers and professionals to join our team and contribute to our vision. With DesignPlus, everyone involved in the process of building a dream home can find the resources, support, and opportunities they need all in one place. We are here to reinvent the interior design journey, making it more accessible, enjoyable, and successful for all.</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:4:""true"";s:7:""BizSAFE"";s:4:""true"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/design-plus-sg/,https://renoresearch.sg/wp-content/uploads/2024/06/Design-Plus-Sg-Logo.jpg,"Design Plus Sg Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Design-Plus-Sg-Logo.jpg
"Calibrate Design","Calibrate Design","'+65 9422 3385",contact@calibratedesign.com,"61 Ubi Road 1 #02-10 Oxley Bizhub 1 Singapore (408727)",HDB,Modern,"Under S$ 30,000","<p>We're here to listen, share ideas, and help conceptualize your vision into reality!</p>
","a:5:{s:12:""HDB Licensed"";s:4:""true"";s:14:""BCA Registered"";s:5:""false"";s:9:""CaseTrust"";s:5:""false"";s:7:""BizSAFE"";s:5:""false"";s:18:""ISO Accreditation"";s:5:""false"";}",2024-06-13,member-list,https://renoresearch.sg/member-list/calibrate-design/,https://renoresearch.sg/wp-content/uploads/2024/06/Calibrate-Design-Logo.jpg,"Calibrate Design Logo",https://renoresearch.sg/wp-content/uploads/2024/06/Calibrate-Design-Logo.jpg
